program_name,pdf,Address,City,Zip
A LITTLE PIECE OF HEAVEN LEARNING CENTER LLC,https://childcaresearch.ohio.gov//pdf/000000400839_2024-11-05_ANNUAL.pdf,771 HARRISBURG PIKE,COLUMBUS,43223
"A LOVE FOR CHILDREN, LLC",https://childcaresearch.ohio.gov//pdf/000000400965_2024-09-09_ANNUAL.pdf,4656 HEATON ROAD,COLUMBUS,43229
A MILLION DREAMS LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002200022034_2024-08-27_ANNUAL.pdf,541 MAIN STREET,MILFORD,45150
A MOTHER'S LUV EARLY EDUCATION CENTER,https://childcaresearch.ohio.gov//pdf/002230027669_2024-07-23_ANNUAL.pdf,3142 READING RD,CINCINNATI,45229
A MOTHERS TOUCH LAST FOREVER LLC,https://childcaresearch.ohio.gov//pdf/002190020297_2024-08-26_ANNUAL.pdf,3006/3010 DOUGLAS RD.,TOLEDO,43606
A PLACE FOR EVERYONE LLC,https://childcaresearch.ohio.gov//pdf/000000107064_2024-12-10_ANNUAL.pdf,5192 DARROW RD,HUDSON,44236
A PLACE TO GROW ACADEMY,https://childcaresearch.ohio.gov//pdf/002210025267_2024-08-13_ANNUAL.pdf,6760 DISCOVERY BLVD,DUBLIN,43017
A PLACE TO GROW DAYCARE CENTER AND PRESCHOOL LLC,https://childcaresearch.ohio.gov//pdf/002180018327_2024-08-29_ANNUAL.pdf,115 W ST CLAIR ST # A,EATON,45320
A PLACE TO LEARN AND GROW INCORPORATED,https://childcaresearch.ohio.gov//pdf/000000104554_2023-10-11_ANNUAL.pdf,407 SIXTH ST NW,CANTON,44702
A PROMISING TOMORROW LLC.,https://childcaresearch.ohio.gov//pdf/000000500191_2024-10-29_ANNUAL.pdf,890 W. BANCROFT ST,TOLEDO,43606
"A RAINBOW'S TREASURE, LLC",https://childcaresearch.ohio.gov//pdf/000000500276_2024-07-15_ANNUAL.pdf,4725 DORR ST,TOLEDO,43615
A SENSE OF WONDER EARLY CARE & EDUCATION PROGRAM LLC,https://childcaresearch.ohio.gov//pdf/000000307339_2024-11-05_ANNUAL.pdf,8942 E. MARKET STREET,WARREN,44484
A SHANTON DAYCARE,https://childcaresearch.ohio.gov//pdf/002170012594_2024-02-27_ANNUAL.pdf,47 MAIN STREET,CHILLICOTHE,45601
A STEP ABOVE 2 INC,https://childcaresearch.ohio.gov//pdf/002230027870_2024-09-17_ANNUAL.pdf,3728 PEARL RD,CLEVELAND,44109
A STEP ABOVE DAYCARE ACADEMY,https://childcaresearch.ohio.gov//pdf/002180016960_2024-09-12_ANNUAL.pdf,10320 LORAIN AVE,CLEVELAND,44111
A STEP IN THE RIGHT DIRECTION LITERACY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002180017710_2024-09-19_ANNUAL.pdf,5817 BEECHCROFT RD,COLUMBUS,43229
A WONDERLAND LEARNING ADVENTURE L.L.C,https://childcaresearch.ohio.gov//pdf/002200022316_2024-07-22_ANNUAL.pdf,648 EAST 185TH STREET,CLEVELAND,44119
A YOUNG MIND CHILDCARE CENTER,https://childcaresearch.ohio.gov//pdf/002210024741_2024-10-30_ANNUAL.pdf,3810 LEE RD,CLEVELAND,44128
"A&B CHILD CARE AND LEARNING CENTER, LLC",https://childcaresearch.ohio.gov//pdf/000000400610_2024-12-02_ANNUAL.pdf,4818 INDIANOLA AVE,COLUMBUS,43214
A&HT WYOMING PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000207853_2024-10-17_ANNUAL.pdf,334 BURNS AVE,WYOMING,45215
A+ ACADEMY CHILD,https://childcaresearch.ohio.gov//pdf/000000407193_2024-02-23_ANNUAL.pdf,4580 HEATON ROAD,COLUMBUS,43229
A+ CHILDCARE & PRESCHOOL,https://childcaresearch.ohio.gov//pdf/002180016806_2025-01-08_ANNUAL.pdf,3825 LINCOLN WAY E,MASSILLON,44646
A+ KIDS LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002170012898_2024-10-31_ANNUAL.pdf,5700 KATHY RUN LANE,COLUMBUS,43229
A.B.C. CHILD CARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000305428_2024-11-15_ANNUAL.pdf,2012 W 11TH STREET,ASHTABULA,44004
AAC3 DBA ALL ABOUT CHILDREN,https://childcaresearch.ohio.gov//pdf/000000106289_2024-07-31_ANNUAL.pdf,217 COMMERCIAL AVENUE SW,NEW PHILADELPHI,44663
AB CHILDCARE ACADEMY LLC,https://childcaresearch.ohio.gov//pdf/002180018973_2024-10-08_ANNUAL.pdf,6060 CHANNINGWAY BLVD,COLUMBUS,43232
ABC 123 ENRICHMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000503885_2024-02-26_ANNUAL.pdf,600 N. WEST ST,LIMA,45804
"ABC ACADEMY OF FREMONT, LLC",https://childcaresearch.ohio.gov//pdf/000000502411_2024-12-17_ANNUAL.pdf,151 S TAFT AVE,FREMONT,43420
ABC CHILD DEVELOPMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000200012_2024-08-22_ANNUAL.pdf,3024 HOOVER AVE.,DAYTON,45402
ABC CLUBHOUSE ACADEMY,https://childcaresearch.ohio.gov//pdf/000000100372_2024-11-19_ANNUAL.pdf,692 E MARKET STREET,AKRON,44304
ABC EARLY CHILDHOOD LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000206167_2024-07-16_ANNUAL.pdf,3998 DRY RIDGE ROAD,CINCINNATI,45252
ABC LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000400502_2024-11-18_ANNUAL.pdf,5730 KATHY RUN LANE,COLUMBUS,43229
ABERDEEN HEAD START CENTER,https://childcaresearch.ohio.gov//pdf/000000206067_2024-01-23_ANNUAL.pdf,2300 RAINS EITEL RD,ABERDEEN,45101
ABILITIES FIRST EARLY CHILDHOOD LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000202678_2024-12-05_ANNUAL.pdf,4710 TIMBER TRAIL DRIVE,MIDDLETOWN,45044
ABOVE AND BEYOND DAYCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002200023296_2024-10-17_ANNUAL.pdf,802 WEIS STREET,COLDWATER,45828
ABOVE AND BEYOND ENRICHMENT CENTER,https://childcaresearch.ohio.gov//pdf/002220026838_2024-10-24_ANNUAL.pdf,3806 NICHOLAS ROAD,DAYTON,45417
ABSORBENT MINDS MONTESSORI SCHOOL,https://childcaresearch.ohio.gov//pdf/000000106597_2025-01-08_ANNUAL.pdf,4460 STOW ROAD,STOW,44224
ABUNDANT LIVING CHILD CARE CENTER,https://childcaresearch.ohio.gov//pdf/000000303925_2024-11-27_ANNUAL.pdf,3874 COLUMBIA RD,NORTH OLMSTED,44070
ACADEMY KIDS LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000406113_2024-02-29_ANNUAL.pdf,289 WOODLAND AVE,COLUMBUS,43203
ACADEMY OF FUTURE SCHOLARS LLC.,https://childcaresearch.ohio.gov//pdf/002230028191_2025-01-06_ANNUAL.pdf,734 COPLEY ROAD,AKRON,44320
ACADEMY OF YOUNG MINDS EAST,https://childcaresearch.ohio.gov//pdf/000000308768_2024-09-18_ANNUAL.pdf,685 BRIARTHORN  CRESCENT DR,WADSWORTH,44281
"ACADEMY OF YOUNG MINDS, INC.",https://childcaresearch.ohio.gov//pdf/000000306046_2024-11-04_ANNUAL.pdf,311 WEATHERSTONE DRIVE,WADSWORTH,44281
ACADEMYONE CHILDCARE & PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000401200_2024-11-13_ANNUAL.pdf,5893 PRESERVE BLVD,NEW ALBANY,43054
ACCAA EDGEWOOD HEAD START,https://childcaresearch.ohio.gov//pdf/000000300723_2024-10-24_ANNUAL.pdf,2428 BLAKE ROAD,ASHTABULA,44004
ACCAA HEAD START - GRAND VALLEY,https://childcaresearch.ohio.gov//pdf/000000300836_2024-09-23_ANNUAL.pdf,111 GRAND VALLEY AVENUE,ORWELL,44076
ACCAA HEAD START CORK ELEMENTARY SCHOOL,https://childcaresearch.ohio.gov//pdf/000000300457_2024-12-11_ANNUAL.pdf,341 STATE ROUTE 534,GENEVA,44041
ACCAA ONTARIO PRIMARY SCHOOL HEAD START,https://childcaresearch.ohio.gov//pdf/000000300466_2024-11-19_ANNUAL.pdf,2302 WADE AVENUE,ASHTABULA,44004
ACCAA/ACHST A-TECH-JEFFERSON,https://childcaresearch.ohio.gov//pdf/000000300837_2024-10-22_ANNUAL.pdf,"1565 STATE ROUTE 167, B BLDG.",JEFFERSON,44047
ACCAA/ACHST/EHS-COLLINS,https://childcaresearch.ohio.gov//pdf/000000300611_2024-10-03_ANNUAL.pdf,104 W. 45TH STREET,ASHTABULA,44004
ACORN CHILDCARE CENTER,https://childcaresearch.ohio.gov//pdf/000000302514_2024-07-16_ANNUAL.pdf,37800 FRENCH CREEK RD,AVON,44011
ADAMS LANE HEAD START,https://childcaresearch.ohio.gov//pdf/000000408811_2024-01-30_ANNUAL.pdf,1580 ADAMS LANE,ZANESVILLE,43701
ADVANTAGE EARLY LEARNING ACADEMY,https://childcaresearch.ohio.gov//pdf/002230027685_2024-09-30_ANNUAL.pdf,233 W CHURCH STREET B,MARION,43302
ADVANTAGE EARLY LEARNING ACADEMY MV,https://childcaresearch.ohio.gov//pdf/002200023288_2024-02-14_ANNUAL.pdf,398 DAMASCUS RD,MARYSVILLE,43040
ADVENTURE PLACE CHILD DEVELOPMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000104134_2024-07-31_ANNUAL.pdf,1516 EDISON ST. NW,UNIONTOWN,44685
AGAPE ACADEMY,https://childcaresearch.ohio.gov//pdf/002170014522_2024-12-13_ANNUAL.pdf,4519 CEMETERY RD,HILLIARD,43026
AGAPE CHILDREN'S CENTER,https://childcaresearch.ohio.gov//pdf/000000203876_2024-08-27_ANNUAL.pdf,1060 SMILEY AVE,CINCINNATI,45240
AGAPE LIFE CHRISTIAN ACADEMY,https://childcaresearch.ohio.gov//pdf/002180019166_2024-10-08_ANNUAL.pdf,6389 BLACKLICK-EASTERN RD,PICKERINGTON,43147
AGAPELAND - CHURCH OF THE NAZARENE,https://childcaresearch.ohio.gov//pdf/000000303315_2024-08-13_ANNUAL.pdf,34950 LAKESHORE BLVD,EASTLAKE,44094
AGEZ AND STAGEZ INC DBA BLUEPRINTS TO FOOTPRINTS,https://childcaresearch.ohio.gov//pdf/000000300786_2024-12-23_ANNUAL.pdf,87 NORTHFIELD ROAD,BEDFORD,44146
AGORA'S LITTLE GEMS EARLY LEARNING & CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000411097_2024-10-29_ANNUAL.pdf,400 W. BROAD ST,COLUMBUS,43215
AJ'S LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000401263_2024-10-03_ANNUAL.pdf,1704 SCHROCK,COLUMBUS,43229
AL MAHDI ACADEMY,https://childcaresearch.ohio.gov//pdf/002220027318_2024-10-23_ANNUAL.pdf,6004 HILL AVE,TOLEDO,43615
ALEY CHRISTIAN ACADEMY,https://childcaresearch.ohio.gov//pdf/000000401258_2023-08-22_ANNUAL.pdf,4143 KEMP RD,BEAVERCREEK,45431
"ALL 4 KIDS 2, LLC",https://childcaresearch.ohio.gov//pdf/002220026314_2025-01-07_ANNUAL.pdf,6520 PILLIOD RD,HOLLAND,43528
"ALL 4 KIDS, LLC",https://childcaresearch.ohio.gov//pdf/000000500156_2024-12-17_ANNUAL.pdf,330 OAK TERRACE BLVD,HOLLAND,43528
"ALL 4 YOU CHILD DEVELOPMENT CENTER, LLC",https://childcaresearch.ohio.gov//pdf/002190020507_2024-10-31_ANNUAL.pdf,"1007 S. MCCORD #14, 15, 16",HOLLAND,43528
ALL ABOUT CHILDREN,https://childcaresearch.ohio.gov//pdf/002190019480_2024-08-06_ANNUAL.pdf,77 HAVENS LANE,WAVERLY,45690
ALL ABOUT KIDS,https://childcaresearch.ohio.gov//pdf/000000100150_2024-01-22_ANNUAL.pdf,6199 FRANK AVE. NW,NORTH CANTON,44720
ALL ABOUT KIDS AT WARDS CORNER,https://childcaresearch.ohio.gov//pdf/000000200060_2024-09-24_ANNUAL.pdf,520 WARDS CORNER,LOVELAND,45140
ALL ABOUT KIDS CHILD CARE & LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000206387_2024-11-25_ANNUAL.pdf,7015 YANKEE RD,LIBERTY TWP,45044
ALL ABOUT KIDS CHILDCARE & LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000207299_2024-09-24_ANNUAL.pdf,3759 WEST FORK RD,GREEN TWNSHIP,45247
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200350_2024-11-07_ANNUAL.pdf,1300 WEST SOCIAL ROW ROAD,CENTERVILLE,45458
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000207817_2024-12-18_ANNUAL.pdf,11210 MONTGOMERY RD,CINCINNATI,45249
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200540_2024-08-28_ANNUAL.pdf,5779 FILVIEW CIRCLE,CINCINNATI,45248
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200156_2024-07-11_ANNUAL.pdf,7633 FIVE MILE RD.,CINCINNATI,45230
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200251_2024-09-12_ANNUAL.pdf,5920 REIGART ROAD,HAMILTON,45011
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002170014676_2024-08-30_ANNUAL.pdf,4850 EDWARDS FARMS ROAD,HILLIARD,43026
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000400867_2024-11-21_ANNUAL.pdf,255 GREEN MEADOWS DR. S,LEWIS CENTER,43035
ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000201413_2024-09-04_ANNUAL.pdf,6060 RADIO WAY,MASON,45040
ALL ABOUT KIDS OAKLEY,https://childcaresearch.ohio.gov//pdf/002190019533_2024-09-11_ANNUAL.pdf,4502 MARBURG AVENUE,CINCINNATI,45209
ALL ABOUT KIDS PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000100255_2024-12-12_ANNUAL.pdf,3285 CLEVELAND MASSILLON RD.,NORTON,44203
ALL ABOUT THE CHILDREN CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000300518_2024-02-08_ANNUAL.pdf,18211 EUCLID AVE,CLEVELAND,44112
ALL ABOUT THE KIDS ACADEMY,https://childcaresearch.ohio.gov//pdf/002170015871_2024-08-14_ANNUAL.pdf,435 GRISWOLD RD,ELYRIA,44035
"ALL ABOUT THE KIDS LEARNING CENTER, LLC",https://childcaresearch.ohio.gov//pdf/000000504192_2024-11-20_ANNUAL.pdf,520 ORDWAY AVE,BOWLING GREEN,43402
ALL ABOUT US LEARNING CTR,https://childcaresearch.ohio.gov//pdf/000000207266_2024-08-16_ANNUAL.pdf,114 BRANDT STREET,DAYTON,45404
ALL AROUND CHILDREN - BEDFORD HEIGHTS,https://childcaresearch.ohio.gov//pdf/000000307575_2024-03-04_ANNUAL.pdf,23840 AURORA RD,BEDFORD HTS,44146
ALL AROUND CHILDREN - CANTON,https://childcaresearch.ohio.gov//pdf/000000100250_2024-08-07_ANNUAL.pdf,2701 MARET STREET,CANTON,44705
ALL AROUND CHILDREN - E55,https://childcaresearch.ohio.gov//pdf/002180018781_2024-12-02_ANNUAL.pdf,3271 EAST 55TH ST,CLEVELAND,44127
ALL AROUND CHILDREN - MIDDLEFIELD,https://childcaresearch.ohio.gov//pdf/000000300683_2024-07-18_ANNUAL.pdf,16000 E HIGH ST,MIDDLEFIELD,44062
ALL AROUND CHILDREN - OAKFIELD,https://childcaresearch.ohio.gov//pdf/000000305803_2024-11-18_ANNUAL.pdf,3520 E 120TH STREET,CLEVELAND,44105
ALL AROUND CHILDREN - STOW,https://childcaresearch.ohio.gov//pdf/000000100075_2024-12-04_ANNUAL.pdf,4117 BRIDGEWATER PKWY,STOW,44224
ALL AROUND CHILDREN - STRONGSVILLE,https://childcaresearch.ohio.gov//pdf/000000300889_2024-09-05_ANNUAL.pdf,13895 PEARL ROAD,STRONGSVILLE,44136
ALL AROUND CHILDREN - WOODLAND,https://childcaresearch.ohio.gov//pdf/000000308741_2024-11-01_ANNUAL.pdf,7115 WOODLAND AVE,CLEVELAND,44104
ALL FOR KIDS INC.,https://childcaresearch.ohio.gov//pdf/000000406982_2024-11-07_ANNUAL.pdf,1405 EAST WHEELING AVENUE,CAMBRIDGE,43725
ALL GOD'S CHILDREN DAYCARE CENTER LLC,https://childcaresearch.ohio.gov//pdf/002220026198_2024-09-05_ANNUAL.pdf,1990 COUNTY ROAD 5,DELTA,43515
ALL GOD'S CHILDREN LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000400696_2024-02-09_ANNUAL.pdf,895-C PARSONS AVE,COLUMBUS,43206
"ALL IN A DAY CHILDCARE CENTER, LLC",https://childcaresearch.ohio.gov//pdf/000000400520_2024-10-17_ANNUAL.pdf,4420 REFUGEE ROAD,COLUMBUS,43232
ALL SAINTS  PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000403696_2024-02-13_ANNUAL.pdf,6770 N HIGH ST,WORTHINGTON,43085
ALL STAR ACADEMY CHILD CARE CENTER,https://childcaresearch.ohio.gov//pdf/000000401171_2024-07-11_ANNUAL.pdf,1672 E. DUBLIN GRANVILLE,COLUMBUS,43229
ALL STAR ACADEMY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000400324_2025-01-07_ANNUAL.pdf,"5992 WESTERVILLE RD, SUITE 1",WESTERVILLE,43081
ALL STAR KIDS EARLY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000106182_2024-11-19_ANNUAL.pdf,2311 COLUMBUS ROAD NE,CANTON,44705
ALL STAR LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002180018950_2024-07-22_ANNUAL.pdf,3654 W.117TH,CLEVELAND,44111
ALLEN EAST HEAD START,https://childcaresearch.ohio.gov//pdf/000000500022_2024-02-12_ANNUAL.pdf,9520 HARROD RD,HARROD,45850
ALLIANCE FAMILY YMCA,https://childcaresearch.ohio.gov//pdf/000000100315_2023-07-10_ANNUAL.pdf,205 S. UNION AVE.,ALLIANCE,44601
ALLIE'S CHILD DEVELOPMENT CENTER 2,https://childcaresearch.ohio.gov//pdf/002180017708_2024-01-31_ANNUAL.pdf,200 COMMERCIAL DRIVE,FAIRFIELD,45014
ALLY CHILD CARE,https://childcaresearch.ohio.gov//pdf/002180016702_2024-08-07_ANNUAL.pdf,7016 CORPORATE WAY,DAYTON,45459
ALMADINA LLC,https://childcaresearch.ohio.gov//pdf/002170014582_2024-12-31_ANNUAL.pdf,5714 COLUMBUS SQUARE,COLUMBUS,43231
ALMIRA EARLY LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002180017026_2024-09-03_ANNUAL.pdf,9800 ALMIRA AVENUE,CLEVELAND,44102
ALMOST HOME CHILDCARE,https://childcaresearch.ohio.gov//pdf/002220025755_2024-12-18_ANNUAL.pdf,728 E SMITH RD,MEDINA,44256
"ALMOST HOME DAYCARE, LLC",https://childcaresearch.ohio.gov//pdf/000000410944_2024-10-09_ANNUAL.pdf,15 NORTH 21ST STREET,NEWARK,43055
ALMOST HOME INFANT CARE & PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000502533_2024-09-30_ANNUAL.pdf,801 E LINCOLN ST,FINDLAY,45840
"ALMOST HOME, INC",https://childcaresearch.ohio.gov//pdf/002180018097_2024-08-29_ANNUAL.pdf,800 CANTERBURY DRIVE,FINDLAY,45840
ALPHABET ACADEMY,https://childcaresearch.ohio.gov//pdf/000000200025_2024-08-28_ANNUAL.pdf,8475 WINTON RD,CINCINNATI,45231
ALPHABET JUNCTION INC,https://childcaresearch.ohio.gov//pdf/000000204807_2024-09-03_ANNUAL.pdf,3501 CHEVIOT AVE,CINCINNATI,45211
ALTA HEAD START CAMP CHALLENGE,https://childcaresearch.ohio.gov//pdf/000000100424_2024-10-23_ANNUAL.pdf,939 WILKINSON AVE,YOUNGSTOWN,44509
ALTA HEAD START CAMPBELL,https://childcaresearch.ohio.gov//pdf/000000100355_2024-11-13_ANNUAL.pdf,2002 COMMUNITY CIRCLE,CAMPBELL,44405
ALTA HEAD START CAMPUS OF CARE,https://childcaresearch.ohio.gov//pdf/000000100339_2024-12-04_ANNUAL.pdf,4891  E COUNTY LINE RD. 6C,MINERAL RIDGE,44440
ALTA HEAD START CHOFFIN,https://childcaresearch.ohio.gov//pdf/002230028532_2024-09-19_ANNUAL.pdf,200 EAST WOOD STREET,YOUNGSTOWN,44503
ALTA HEAD START COC BUILDING 2,https://childcaresearch.ohio.gov//pdf/000000100351_2024-11-05_ANNUAL.pdf,1960 E COUNTY LINE RD,YOUNGSTOWN,44515
ALTA HEAD START MCCARTNEY,https://childcaresearch.ohio.gov//pdf/000000100353_2024-12-12_ANNUAL.pdf,1988 MCCARTNEY RD,YOUNGSTOWN,44505
ALTA HEAD START MILLCREEK LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002170015577_2024-10-10_ANNUAL.pdf,4570 LOCKWOOD BLVD.,YOUNGSTOWN,44512
ALTA HEAD START MONROE,https://childcaresearch.ohio.gov//pdf/002200022413_2025-01-07_ANNUAL.pdf,261 MONROE ST. NW,WARREN,44483
ALTA HEAD START POTENTIAL DEVELOPMENT,https://childcaresearch.ohio.gov//pdf/002180018141_2024-07-23_ANNUAL.pdf,880 E. INDIANOLA AVE.,YOUNGSTOWN,44502
ALTA HEAD START RENAISSANCE,https://childcaresearch.ohio.gov//pdf/000000100337_2024-10-09_ANNUAL.pdf,345 OAK HILL,YOUNGSTOWN,44502
ALTA HEAD START YMCA,https://childcaresearch.ohio.gov//pdf/000000100354_2024-10-30_ANNUAL.pdf,17 N. CHAMPION ST.,YOUNGSTOWN,44503
ALTA HEAD START YSU,https://childcaresearch.ohio.gov//pdf/002170012493_2024-07-03_ANNUAL.pdf,1 UNIVERSITY PLAZA,YOUNGSTOWN,44555
ALTON HALL,https://childcaresearch.ohio.gov//pdf/000000400713_2023-10-18_ANNUAL.pdf,982 ALTON RD,GALLOWAY,43119
ALUM CREEK PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000410499_2024-10-03_ANNUAL.pdf,6256 SOUTH OLD STATE RD,LEWIS CENTER,43035
A'MAEZIN LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002170014790_2024-02-26_ANNUAL.pdf,3711 WARSAW AVE,CINCINNATI,45205
